Column 0,Column 1,Column 2,Column 3
"Wilshire Kenmore Regency | 341 S Kenmore Ave, Los Angeles, CA","$2,150+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/wilshire-kenmore-regency/5XkCZX/,https://photos.zillowstatic.com/fp/cd00163bfa9d54d11e2a32b2dc338a48-p_e.jpg
"Vica Silverlake | 3400 W Sunset Blvd, Los Angeles, CA","$3,333+ 1 bd","https://www.zillow.com/b/building/34.087513,-118.27606_ll/",https://photos.zillowstatic.com/fp/a6036c34ffbb4647087d0e96e59f230f-p_e.jpg
"AVA Hollywood at La Pietra Place | 6677 Santa Monica Blvd, Los Angeles, CA","$2,530+ Studio","https://www.zillow.com/b/building/34.090855,-118.33573_ll/",https://photos.zillowstatic.com/fp/6829184fde70904361c0098e51578ad1-p_e.jpg
"Hawthorne Regency Apartments, 7076 Hawthorn Ave #403, Los Angeles, CA 90028","$3,400/mo",https://www.zillow.com/apartments/los-angeles-ca/hawthorne-regency-apartments/5XjVfR/,https://photos.zillowstatic.com/fp/5ca79e592503a583a60667c3dcfc59ef-p_e.jpg
"Twenty 2 Eleven Apartment Homes | 20211 Sherman Way, Canoga Park, CA","$1,890+ Studio",https://www.zillow.com/apartments/canoga-park-ca/twenty-2-eleven-apartment-homes/5XjVwT/,https://photos.zillowstatic.com/fp/6d6e64ae41f153bf0e6368c245157b44-p_e.jpg
"Figueroa Eight | 744 S Figueroa St, Los Angeles, CA","$2,796+ Studio",https://www.zillow.com/apartments/los-angeles-ca/figueroa-eight/9TyW48/,https://photos.zillowstatic.com/fp/6becb88731b2aa0fcf9abaf8d8506b0e-p_e.jpg
"Urbanlux Century City | 1818 Thayer Ave, Los Angeles, CA","$7,000+ 3 bds","https://www.zillow.com/b/building/34.05505,-118.425934_ll/",https://photos.zillowstatic.com/fp/6281adf705b5b95a271d6103c734ff60-p_e.jpg
"The Residences at Lorenzo | 325 W Adams Blvd, Los Angeles, CA","$2,444+ 1 bd",https://www.zillow.com/apartments/los-angeles-ca/the-residences-at-lorenzo/5XkxZC/,https://photos.zillowstatic.com/fp/e8d4461ef05f3436ffef160b6cefeaf2-p_e.jpg
"Sentral at Inspire Hollywood | 1530 Cassil Pl, Los Angeles, CA","$2,195+ Studio",https://www.zillow.com/apartments/los-angeles-ca/sentral-at-inspire-hollywood/CHFD5j/,https://photos.zillowstatic.com/fp/eedf81857a475ba08e4a635f7733e014-p_e.jpg
"Solari Silver Lake | 505 Silver Lake Blvd, Los Angeles, CA","$2,675+ Studio",https://www.zillow.com/apartments/los-angeles-ca/solari-silver-lake/9MLcTX/,https://photos.zillowstatic.com/fp/ec392e68f484b68223c6349b4cbeffe6-p_e.jpg
